"","panel_catt_daily"
"y_cut[5.71e+03,1.05e+04]",0.832475176785804
"y_cut[1.95e+03,3.84e+03)",-0.727957628554175
"y_cut[3.84e+03,5.71e+03)",-0.104893347830606
"survey_countsellercosmetics",0.0873196458132844
"itops_countrheumatologist",-0.0743380079416222
"itops_countdermatologist",-0.0679461217463035
"itops_countpsychiatrist",-0.0675851071596301
"itops_min_height",-0.0670172162385143
"itops_countophthalmologist",-0.0648993640679415
"altitude_max",-0.0579211309686237
"itops_countpharmacy",-0.0564372872937896
"itops_countgynaecologist",-0.0530179014315555
"itops_countcampsit",0.0457657813759588
"itops_countendocrinologist",-0.0431248747270064
"itops_countpaediatrician",-0.0421077785027186
"itops_countcardiologist",-0.0413474017433818
"itops_countdentist",-0.0408923251528759
"itops_countbedresort",0.0395918782578006
"insee_etb_act_agriculture",0.0342486100357641
"itops_countpulmonologist",-0.0341566004159475
"itops_countgeneralpractice",-0.0298636051781982
"itops_countgastroenterologist",-0.0286189444313779
"insee_chomeurs_15_64",-0.0277024027419962
"itops_counturologist",-0.0262439922103198
"ok_counttitularpartialtime",0.0203871414807347
"itops_countcampsitnngrated",0.0200541616820534
"itops_countroomhotel",-0.0184274081237107
"itops_countmidwife",-0.0170920941735025
"insee_mediane_revenu_2012dep",0.0168974107126326
"ok_numberpolicygroup",0.0148884382887294
"itops_averagesalary",-0.0148185036802092
"insee_taux_pauvrete_2012dep",0.0147547960343623
"itops_counthospital",-0.013407199034418
"insee_superficie",0.0112160097008086
"itops_countbedtouristhom",-0.00764155729901644
"itops_countbedlodge",-0.00763347236674662
"insee_population_30_44",-0.00672739605105059
"insee_etb_act_construction",-0.00474249889947928
"itops_countnurse",-0.00359806992411681
"ok_countadjointpartialtime",0.00319365202604665
"insee_mediane_revenu_2012",0.00248417069265172
"itops_population",-0.00148280596151563
"itops_countroomhotelnngrated",0.00109846021047808
"insee_nbmenages_fiscaux_2012dep",0.000734126861258676
"itops_distneareststation",-3.00983991665555e-05
